gene,in_subset
ENSMUSG00000021725,False
ENSMUSG00000021733,False
ENSMUSG00000021738,False
ENSMUSG00000021756,False
ENSMUSG00000021759,False
ENSMUSG00000021764,False
ENSMUSG00000021765,False
ENSMUSG00000021767,False
ENSMUSG00000021770,False
ENSMUSG00000021774,False
ENSMUSG00000021775,False
ENSMUSG00000021814,False
ENSMUSG00000021820,False
ENSMUSG00000021822,False
ENSMUSG00000021831,False
ENSMUSG00000021832,False
ENSMUSG00000021843,False
ENSMUSG00000021846,False
ENSMUSG00000021877,False
ENSMUSG00000021890,False
ENSMUSG00000021891,False
ENSMUSG00000021892,False
ENSMUSG00000021895,False
ENSMUSG00000021902,False
ENSMUSG00000021905,False
ENSMUSG00000021906,False
ENSMUSG00000021910,False
ENSMUSG00000021930,False
ENSMUSG00000021938,False
ENSMUSG00000021948,False
ENSMUSG00000021962,False
ENSMUSG00000021982,False
ENSMUSG00000021990,False
ENSMUSG00000021997,False
ENSMUSG00000021998,False
ENSMUSG00000022000,False
ENSMUSG00000022009,False
ENSMUSG00000022010,False
ENSMUSG00000022018,False
ENSMUSG00000022035,False
ENSMUSG00000022051,False
ENSMUSG00000022052,False
ENSMUSG00000022094,False
ENSMUSG00000022098,False
ENSMUSG00000022100,False
ENSMUSG00000022102,False
ENSMUSG00000022105,False
ENSMUSG00000022106,False
ENSMUSG00000022122,False
ENSMUSG00000022124,False
ENSMUSG00000022125,False
ENSMUSG00000022131,False
ENSMUSG00000022139,False
ENSMUSG00000022146,False
ENSMUSG00000022148,False
ENSMUSG00000022150,True
ENSMUSG00000022175,False
ENSMUSG00000022177,False
ENSMUSG00000022180,False
ENSMUSG00000022184,False
ENSMUSG00000022186,False
ENSMUSG00000022201,False
ENSMUSG00000022217,False
ENSMUSG00000022244,False
ENSMUSG00000022247,False
ENSMUSG00000022253,False
ENSMUSG00000022255,True
ENSMUSG00000022265,False
ENSMUSG00000022280,False
ENSMUSG00000022300,False
ENSMUSG00000022353,False
ENSMUSG00000022358,False
ENSMUSG00000022360,False
ENSMUSG00000022370,False
ENSMUSG00000022377,False
ENSMUSG00000022404,False
ENSMUSG00000022419,False
ENSMUSG00000022426,False
ENSMUSG00000022428,False
ENSMUSG00000022433,False
ENSMUSG00000022442,False
ENSMUSG00000022463,False
ENSMUSG00000022469,False
ENSMUSG00000022471,False
ENSMUSG00000022474,False
ENSMUSG00000022475,False
ENSMUSG00000022514,False
ENSMUSG00000022516,False
ENSMUSG00000022529,False
ENSMUSG00000022538,False
ENSMUSG00000022540,False
ENSMUSG00000022544,False
ENSMUSG00000022559,False
ENSMUSG00000022575,False
ENSMUSG00000022636,False
ENSMUSG00000022637,False
ENSMUSG00000022661,True
ENSMUSG00000022664,False
ENSMUSG00000022671,False
ENSMUSG00000022682,False
ENSMUSG00000022684,False
ENSMUSG00000022685,False
ENSMUSG00000022687,False
ENSMUSG00000022722,False
ENSMUSG00000022742,False
ENSMUSG00000022744,False
ENSMUSG00000022751,False
ENSMUSG00000022752,False
ENSMUSG00000022769,False
ENSMUSG00000022788,False
ENSMUSG00000022799,False
ENSMUSG00000022801,False
ENSMUSG00000022802,False
ENSMUSG00000022807,False
ENSMUSG00000022814,False
ENSMUSG00000022822,False
ENSMUSG00000022831,False
ENSMUSG00000022856,False
ENSMUSG00000022861,False
ENSMUSG00000022864,False
ENSMUSG00000022876,False
ENSMUSG00000022885,False
ENSMUSG00000022892,False
ENSMUSG00000022895,False
ENSMUSG00000022898,False
ENSMUSG00000022901,False
ENSMUSG00000022906,False
ENSMUSG00000022946,False
ENSMUSG00000022947,False
ENSMUSG00000022957,False
ENSMUSG00000022971,False
ENSMUSG00000023009,False
ENSMUSG00000023010,False
ENSMUSG00000023021,False
ENSMUSG00000023022,False
ENSMUSG00000023044,False
ENSMUSG00000023050,False
ENSMUSG00000023068,False
ENSMUSG00000023072,False
ENSMUSG00000023087,False
ENSMUSG00000023088,False
ENSMUSG00000023104,False
ENSMUSG00000023147,False
ENSMUSG00000023150,False
ENSMUSG00000023286,False
ENSMUSG00000023307,False
ENSMUSG00000023330,False
ENSMUSG00000023353,False
ENSMUSG00000023505,False
ENSMUSG00000023707,False
ENSMUSG00000023764,False
ENSMUSG00000023809,True
ENSMUSG00000023827,False
ENSMUSG00000023905,False
ENSMUSG00000023908,False
ENSMUSG00000023923,False
ENSMUSG00000023947,False
ENSMUSG00000023959,False
ENSMUSG00000023973,False
ENSMUSG00000023990,False
ENSMUSG00000024014,True
ENSMUSG00000024030,False
ENSMUSG00000024063,False
ENSMUSG00000024066,False
ENSMUSG00000024067,False
ENSMUSG00000024069,False
ENSMUSG00000024070,False
ENSMUSG00000024085,False
ENSMUSG00000024091,False
ENSMUSG00000024097,False
ENSMUSG00000024140,True
ENSMUSG00000024143,False
ENSMUSG00000024169,False
ENSMUSG00000024231,False
ENSMUSG00000024236,False
ENSMUSG00000024238,False
ENSMUSG00000024286,False
ENSMUSG00000024290,False
ENSMUSG00000024299,False
ENSMUSG00000024300,False
ENSMUSG00000024308,False
ENSMUSG00000024330,False
ENSMUSG00000024335,False
ENSMUSG00000024353,False
ENSMUSG00000024359,False
ENSMUSG00000024369,False
ENSMUSG00000024387,False
ENSMUSG00000024393,False
ENSMUSG00000024401,True
ENSMUSG00000024402,False
ENSMUSG00000024404,False
ENSMUSG00000024413,False
ENSMUSG00000024423,False
ENSMUSG00000024424,False
ENSMUSG00000024431,False
ENSMUSG00000024457,False
ENSMUSG00000024486,False
ENSMUSG00000024498,False
ENSMUSG00000024525,False
ENSMUSG00000024528,False
ENSMUSG00000024529,False
ENSMUSG00000024535,False
ENSMUSG00000024539,False
ENSMUSG00000024563,False
ENSMUSG00000024579,False
ENSMUSG00000024583,False
ENSMUSG00000024588,False
ENSMUSG00000024600,False
ENSMUSG00000024613,False
ENSMUSG00000024614,False
ENSMUSG00000024620,False
ENSMUSG00000024639,False
ENSMUSG00000024640,False
ENSMUSG00000024645,False
ENSMUSG00000024646,False
ENSMUSG00000024663,False
ENSMUSG00000024683,False
ENSMUSG00000024696,False
ENSMUSG00000024725,False
ENSMUSG00000024732,False
ENSMUSG00000024737,False
ENSMUSG00000024742,False
ENSMUSG00000024754,False
ENSMUSG00000024772,False
ENSMUSG00000024773,False
ENSMUSG00000024778,False
ENSMUSG00000024785,False
ENSMUSG00000024787,False
ENSMUSG00000024789,False
ENSMUSG00000024805,False
ENSMUSG00000024812,False
ENSMUSG00000024817,False
ENSMUSG00000024826,False
ENSMUSG00000024833,False
ENSMUSG00000024854,False
ENSMUSG00000024878,False
ENSMUSG00000024899,False
ENSMUSG00000024913,False
ENSMUSG00000024921,False
ENSMUSG00000024949,False
ENSMUSG00000024959,False
ENSMUSG00000024969,False
ENSMUSG00000024975,False
ENSMUSG00000024976,False
ENSMUSG00000024985,False
ENSMUSG00000024986,False
ENSMUSG00000025017,False
ENSMUSG00000025025,False
ENSMUSG00000025027,False
ENSMUSG00000025034,False
ENSMUSG00000025041,False
ENSMUSG00000025044,False
ENSMUSG00000025066,False
ENSMUSG00000025161,False
ENSMUSG00000025190,False
ENSMUSG00000025209,False
ENSMUSG00000025212,False
ENSMUSG00000025213,False
ENSMUSG00000025223,False
ENSMUSG00000025225,False
ENSMUSG00000025245,False
ENSMUSG00000025260,False
ENSMUSG00000025278,False
ENSMUSG00000025314,False
ENSMUSG00000025324,False
ENSMUSG00000025332,False
ENSMUSG00000025337,False
ENSMUSG00000025355,False
ENSMUSG00000025358,False
ENSMUSG00000025372,False
ENSMUSG00000025429,False
ENSMUSG00000025436,False
ENSMUSG00000025464,False
ENSMUSG00000025473,False
ENSMUSG00000025486,False
ENSMUSG00000025498,True
ENSMUSG00000025531,False
ENSMUSG00000025578,False
ENSMUSG00000025591,True
ENSMUSG00000025612,False
